Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q15,Q16,Q17,Q18_1,Q18_2,Q19,Q20,Q21,Finished,RecordedDate
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Faculty of Humanities and Social Sciences,Pure and Applied Chemistry,"Cancer Research UK,UKRI: AHRC,UKRI: STFC",Technical/Professional Services,Yes,Moderately important,No,,,,,,,,,,,,"Yes, someone in my group has","No, but we DID expect to write software as part of the project",Unsuitable,Perfect,***REMOVED***,,,True,2020-07-09 07:22:37
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Strathclyde Business School,Other,"Scottish Funding Council,Other:",Other:,Yes,Very important,Yes,3: Intermediate,No,No,No,"No, I use other HPC facilities",Not heard of it,Not heard of it,Not heard of it,Not heard of it,Not confident,1: Poor,No,"No, we did NOT expect to write software as part of the project",Perfect,Unsuitable,***REMOVED***,,,True,2020-07-09 07:24:31
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Faculty of Science,Computer and Information Sciences,"Industry,UKRI: EPSRC",Faculty or Chancellor’s Fellow,Yes,Vital,Yes,4,Yes,Yes,"Yes, it has already been released","No, I do not require HPC in my research",Very confident,Confident,Confident,Confident,Confident,3: Average,No,Yes,Suitable,Suitable,,,,True,2020-07-10 09:45:05
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Faculty of Engineering,"Design, Manufacturing and Engineering Management",,PGR Student,No,Not at all,No,,,,,,,,,,,,No,"No, I'm not involved in writing funding proposals",Unsuitable,,,,,True,2020-07-10 09:45:47
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Other:,Accounting and Finance,"British Heart Foundation,Cancer Research UK,ERC,Industry,Leverhulme Trust,NIHR,Scottish Funding Council,UKRI: AHRC,UKRI: BBSRC,UKRI: EPSRC,UKRI: ESRC,UKRI: Innovate UK,UKRI: MRC,UKRI: NERC,UKRI: STFC,Wellcome Trust,Other:",Technical/Professional Services,Yes,Moderately important,Yes,3: Intermediate,Yes,Yes,"Yes, it has already been released","Yes, I also use other HPC facilities",Not confident,Confident,,Very confident,Confident,1: Poor,"Yes, I have",Yes,Unsuitable,Unsuitable,***REMOVED***,***REMOVED***,***REMOVED***,True,2020-07-10 09:47:28
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Faculty of Humanities and Social Sciences,"Work, Employment and Organisation",Other:,Other:,Yes,Slightly important,Yes,1: Beginner,Yes,Yes,"Yes, it has already been released","No, but I would like to use ARCHIE-WeSt in the future",Not confident,Not confident,Not confident,Not confident,Not confident,4,"Yes, someone in my group has","No, but we DID expect to write software as part of the project",Unsuitable,Suitable,,,,True,2020-07-10 09:49:40
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Faculty of Humanities and Social Sciences,Humanities,"ERC,Scottish Funding Council,UKRI: Innovate UK",Faculty or Chancellor’s Fellow,Yes,Moderately important,No,,,,,,,,,,,,"Yes, someone in my group has","No, we did NOT expect to write software as part of the project",Suitable,Suitable,***REMOVED***,***REMOVED***,***REMOVED***,True,2020-07-13 04:08:25
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Strathclyde Business School,Hunter Centre for Entrepreneurship,Industry,Research/KE/Teaching Fellow,Yes,Very important,Yes,3: Intermediate,No,Yes,No,"No, but I would like to use ARCHIE-WeSt in the future",Not confident,Not heard of it,Not heard of it,Not confident,Not heard of it,2,No,"No, but we DID expect to write software as part of the project",Unsuitable,Perfect,***REMOVED***,***REMOVED***,,True,2020-07-13 04:14:15
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Faculty of Humanities and Social Sciences,Humanities,UKRI: AHRC,Faculty or Chancellor’s Fellow,Yes,Slightly important,No,,,,,,,,,,,,"Yes, someone in my group has","No, we did NOT expect to write software as part of the project",Unsuitable,Suitable,,,,True,2020-07-13 10:33:38
"I confirm that I am 18 or over, I conduct research or knowledge exchange at the University of Strathclyde, and I agree to take part in this survey.",Faculty of Science,Physics,UKRI: EPSRC,Faculty or Chancellor’s Fellow,Yes,Vital,Yes,5: Expert,Yes,Yes,"Yes, it has already been released","Yes, I also use other HPC facilities",Very confident,Very confident,Confident,Very confident,Confident,1: Poor,No,Yes,Unsuitable,Perfect,,,,True,2020-07-14 05:13:34
